MATRIX1
W, 0x0, 1
W, 0x4, 2
W, 0x8, 3
W, 0xC, 4
W, 0x10, 7
W, 0x14, 18
W, 0x18, 23
W, 0x1C, 17
W, 0x10, 4
W, 0x14, 8
W, 0x18, 3 
W, 0x1C, 5
W, 0x10, 12
W, 0x14, 1 
W, 0x18, 41
W, 0x1C, 1

MATRIX2
W, 0x74, 19
W, 0x78, 13
W, 0x7C, 49
W, 0x80, 22
W, 0x84, 4
W, 0x88, 21
W, 0x8C, 37
W, 0x90, 34
W, 0x94, 50
W, 0x98, 0
W, 0x9C, 8
W, 0xA0, 14
W, 0xA4, 26
W, 0xA8, 7
W, 0xAC, 13
W, 0xB0, 0

RESULT INITIALIZE
W, 0xB0, 0
W, 0xB4, 0
W, 0xB8, 0
W, 0xBC, 0
W, 0xC0, 0
W, 0xC4, 0
W, 0xC8, 0
W, 0xCC, 0
W, 0xD0, 0
W, 0xD4, 0
W, 0xD8, 0
W, 0xDC, 0
W, 0xE0, 0
W, 0xE4, 0
W, 0xE8, 0
W, 0xEC, 0

RESULT1,1f
R, 0x0,
R, 0x74,
R, 0xB0,
W, 0xB0, 57

R, 0x4,
R, 0x84,
R, 0xB0,
W, 0xB0, 85

R, 0x8,
R, 0x94,
R, 0xB0,
W, 0xB0, 285

R, 0xC,
R, 0xA4,
R, 0xB0,
W, 0xB0, 597

RESULT1,2f
R, 0x0,
R, 0x78,
R, 0xB0,
W, 0xB0, 39

R, 0x4,
R, 0x88,
R, 0xB4,
W, 0xB4, 186

R, 0x8,
R, 0x98,
R, 0xB4,
W, 0xB4, 186

R, 0xC,
R, 0xA8,
R, 0xB4,
W, 0xB4, 270

RESULT1,3f
R, 0x0,
R, 0x7C,
R, 0xB8,
W, 0xB8, 147

R, 0x4,
R, 0x8C,
R, 0xB8,
W, 0xB8, 406

R, 0x8,
R, 0x9C,
R, 0xB8,
W, 0xB8, 438

R, 0xC,
R, 0xAC,
R, 0xB8,
W, 0xB8, 594

RESULT1,4F
R, 0x0,
R, 0x80,
R, 0xBC,
W, 0xBC, 66

R, 0x4,
R, 0x90,
R, 0xBC,
W, 0xBC, 304

R, 0x8,
R, 0xA0,
R, 0xBC,
W, 0xBC, 360

R, 0xC,
R, 0xB0,
R, 0xBC,
W, 0xBC, 360

RESULT2,1f
R, 0x10,
R, 0x74,
R, 0xC0,
W, 0xC0, 114

R, 0x14,
R, 0x84,
R, 0xC0,
W, 0xC0, 186

R, 0x18,
R, 0x94,
R, 0xC0,
W, 0xC0, 586

R, 0x1C,
R, 0xA4,
R, 0xC0,
W, 0xC0, 612

RESULT2,2f
R, 0x10,
R, 0x78,
R, 0xC4,
W, 0xC4, 78

R, 0x14,
R, 0x88,
R, 0xC4,
W, 0xC4, 458

R, 0x18,
R, 0x98,
R, 0xC4,
W, 0xC4, 458

R, 0x1C,
R, 0xA8,
R, 0xC4,
W, 0xC4, 463

RESULT2,3f
R, 0x10,
R, 0x7C,
R, 0xC8,
W, 0xC8, 294

R, 0x14,
R, 0x8C,
R, 0xC8,
W, 0xC8, 960

R, 0x18,
R, 0x9C,
R, 0xC8,
W, 0xC8, 1024

R, 0x1C,
R, 0xAC,
R, 0xC8,
W, 0xC8, 1037

RESULT2,4F
R, 0x10,
R, 0x80,
R, 0xCC,
W, 0xCC, 132

R, 0x14,
R, 0x90,
R, 0xCC,
W, 0xCC, 744

R, 0x18,
R, 0xA0,
R, 0xCC,
W, 0xCC, 856

R, 0x1C,
R, 0xB0,
R, 0xCC,
W, 0xCC, 856

RESULT3,1f
R, 0x20,
R, 0x74,
R, 0xD0,
W, 0xD0, 95

R, 0x24,
R, 0x84,
R, 0xD0,
W, 0xD0, 187

R, 0x28,
R, 0x94,
R, 0xD0,
W, 0xD0, 337

R, 0x2C,
R, 0xA4,
R, 0xD0,
W, 0xD0, 1403

RESULT3,2f
R, 0x20,
R, 0x78,
R, 0xD4,
W, 0xD4, 65

R, 0x24,
R, 0x88,
R, 0xD4,
W, 0xD4, 548

R, 0x28,
R, 0x98,
R, 0xD4,
W, 0xD4, 548

R, 0x2C,
R, 0xA8,
R, 0xD4,
W, 0xD4, 835

RESULT3,3f
R, 0x20,
R, 0x7C,
R, 0xD8,
W, 0xD8, 245

R, 0x24,
R, 0x8C,
R, 0xD8,
W, 0xD8, 1096

R, 0x28,
R, 0x9C,
R, 0xD8,
W, 0xD8, 1120

R, 0x2C,
R, 0xAC,
R, 0xD8,
W, 0xD8, 1653

RESULT3,4F
R, 0x20,
R, 0x80,
R, 0xDC,
W, 0xDC, 110

R, 0x24,
R, 0x90,
R, 0xDC,
W, 0xDC, 892

R, 0x28,
R, 0xA0,
R, 0xDC,
W, 0xDC, 934

R, 0x2C,
R, 0xB0,
R, 0xDC,
W, 0xDC, 934

RESULT4,1f
R, 0x30,
